Все слова - 101312: 
документ : 17 : документы
по : 12 : по
связь : 17 : связи
найденный : 22 : найденные
система : 17 : системой
документ : 17 : документы
ношу : 20 : носят
название : 17 : названия
укравший : 22 : укравший
тонна : 17 : тонну
рис : 17 : риса
убил : 20 : убил
задержан : 23 : задержан
солдат : 17 : солдат
расстрелявший : 22 : расстрелявший
двое : 29 : двоих
связь : 17 : связи
единственный : 18 : единственный
документ : 17 : документ
